"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Payments","Travel","United Kingdom","Dollars","81","millions","6","v61914492","1.2.6.3","238","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914493","1.2.6.4","962","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","Other European Union countries","Dollars","81","millions","6","v61914494","1.2.6.5","289","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","Japan","Dollars","81","millions","6","v61914495","1.2.6.6","20","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914496","1.2.6.7","155","","","","0"
"1981","Canada","2016A000011124","Payments","Travel","All other countries","Dollars","81","millions","6","v61914497","1.2.6.8","498","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","All countries","Dollars","81","millions","6","v61914498","1.2.7.1","4247","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","United States","Dollars","81","millions","6","v61914499","1.2.7.2","1440","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","United Kingdom","Dollars","81","millions","6","v61914500","1.2.7.3","598","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914501","1.2.7.4","2209","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","Other European Union countries","Dollars","81","millions","6","v61914502","1.2.7.5","736","","","","0"
"1981","Canada","2016A000011124","Payments","Transportation","Japan","Dollars","81","millions","6","v61914503","1.2.7.6","253","","","","0"
